               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.019607,            0.014228,                   0,             0.82437,             0.63879,             0.73644,             0.59254,            0.035839,            0.020899,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.019508,            0.014201,                   0,             0.79868,             0.65728,             0.76345,             0.61957,            0.033556,            0.020231,                   0,            0.006139,            0.006139,            0.006139
                 119,             0.01903,            0.014573,                   0,             0.82659,             0.76154,             0.81515,             0.66019,            0.034053,            0.017624,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.019719,              0.0141,                   0,             0.83503,             0.77876,             0.80113,             0.62649,            0.035201,            0.017949,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.019728,            0.014779,                   0,             0.86273,             0.80473,             0.83616,             0.65843,            0.034135,            0.017004,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.018928,            0.013727,                   0,              0.8789,             0.73964,             0.82875,             0.67424,            0.033374,             0.01696,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.019393,            0.013036,                   0,             0.86299,             0.74542,             0.81626,             0.66941,            0.035468,            0.017742,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.019091,            0.014004,                   0,             0.86047,             0.74556,             0.81391,             0.65978,            0.033228,            0.016933,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.018601,             0.01414,                   0,             0.83141,             0.75872,             0.83185,             0.67622,            0.033329,            0.016719,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.019085,            0.013967,                   0,             0.85514,             0.76846,             0.83294,             0.68495,            0.032891,            0.016742,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.018704,            0.013422,                   0,             0.86973,             0.71107,             0.78447,             0.63196,            0.032875,            0.019295,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.018636,            0.014566,                   0,             0.86691,             0.73233,             0.83502,             0.67527,            0.033291,            0.017493,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.018534,            0.013893,                   0,             0.83336,             0.76936,             0.82273,              0.6599,            0.033133,             0.01829,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.018422,            0.014252,                   0,             0.84225,              0.7574,             0.82869,             0.65806,            0.034583,            0.017505,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.018688,            0.013434,                   0,             0.84655,             0.73373,             0.80704,             0.67225,            0.033225,            0.017893,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.018039,            0.013502,                   0,             0.90572,             0.73901,             0.83527,             0.67808,            0.033418,            0.017294,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.018725,            0.013034,                   0,             0.85675,              0.7078,             0.81281,             0.65744,            0.033966,            0.019777,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.017779,            0.013023,                   0,             0.82839,             0.77515,             0.81943,             0.67262,            0.032108,            0.017882,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.018875,            0.013236,                   0,             0.89056,             0.69822,             0.82705,             0.67477,             0.03319,            0.017678,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.017268,            0.012859,                   0,             0.90587,             0.70414,              0.8198,             0.69008,            0.033756,            0.017688,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.017371,            0.012688,                   0,             0.85564,             0.69822,             0.81007,             0.65945,            0.034818,            0.020106,                   0,            0.005512,            0.005512,            0.005512
                 138,             0.01838,            0.013014,                   0,             0.82905,             0.73964,             0.82846,             0.68132,             0.03227,            0.018357,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.018298,            0.013574,                   0,             0.82061,             0.75788,             0.83382,             0.67929,            0.032642,            0.018543,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.017249,            0.013603,                   0,             0.82626,             0.76331,             0.83266,             0.68658,            0.032052,            0.017612,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.018825,            0.013836,                   0,             0.81861,             0.77444,             0.81566,               0.677,            0.031578,            0.017837,                   0,             0.00538,             0.00538,             0.00538
                 142,             0.01759,            0.012823,                   0,             0.83309,             0.73834,             0.81692,             0.65884,            0.033071,            0.018785,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.017546,            0.013125,                   0,             0.83886,             0.75148,             0.80455,             0.65434,            0.032406,            0.018163,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.017111,            0.014267,                   0,             0.81916,              0.8309,             0.84991,             0.69106,            0.031911,            0.016416,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.017201,            0.012995,                   0,              0.8393,              0.7726,             0.85392,             0.69984,            0.032186,            0.016778,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.016433,            0.012781,                   0,             0.90429,             0.72678,             0.84793,             0.69786,            0.031831,            0.017207,                   0,            0.005215,            0.005215,            0.005215
                 147,             0.01725,            0.012989,                   0,             0.89193,             0.72189,             0.83116,             0.69525,             0.03114,             0.01801,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.017125,            0.012398,                   0,             0.91824,             0.53164,             0.66509,             0.52891,            0.036022,            0.024806,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.017558,            0.012906,                   0,             0.88696,             0.74283,             0.83737,             0.69947,            0.032547,             0.01788,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.017078,            0.013218,                   0,             0.84319,             0.79543,             0.84242,             0.69714,            0.032336,            0.017284,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.018367,             0.01261,                   0,             0.83071,             0.78107,             0.83924,             0.68983,            0.031814,            0.017684,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.017216,            0.012679,                   0,             0.87782,             0.72781,             0.82939,             0.67666,            0.032116,            0.017546,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.017013,            0.012485,                   0,             0.82218,             0.71134,             0.77069,             0.64023,            0.033784,            0.018931,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.017409,            0.013211,                   0,             0.87528,             0.71598,             0.81886,             0.66551,            0.032216,            0.017496,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.016742,            0.012962,                   0,             0.86701,             0.74556,             0.82921,              0.6855,            0.031862,            0.017833,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.016589,            0.012457,                   0,             0.89187,             0.70414,             0.82593,             0.68764,             0.03224,            0.018267,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.016747,            0.012751,                   0,             0.83686,             0.72846,             0.82251,             0.68368,            0.032392,            0.018896,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.017026,             0.01269,                   0,             0.83931,             0.76331,             0.82854,             0.69926,            0.032185,            0.018192,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.016631,            0.011827,                   0,             0.83361,             0.75148,             0.81839,             0.68762,            0.032419,            0.018626,                   0,            0.004786,            0.004786,            0.004786
                 160,             0.01647,            0.012526,                   0,             0.87896,             0.69822,             0.81807,              0.6843,            0.032096,            0.018307,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.017022,            0.013208,                   0,             0.83759,              0.7629,             0.81875,             0.68769,            0.031628,            0.017656,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.016647,            0.012686,                   0,             0.84253,             0.79147,             0.82479,              0.6867,            0.031919,            0.017371,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.016704,            0.012765,                   0,             0.87282,             0.71006,             0.82113,             0.68236,            0.032434,            0.018345,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.016605,            0.012851,                   0,             0.89747,             0.72781,             0.83021,             0.68925,            0.031691,            0.017155,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.017029,            0.012121,                   0,              0.8624,             0.77515,             0.83808,             0.70941,            0.030698,            0.017089,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.016794,            0.012126,                   0,             0.85762,             0.74848,             0.83676,             0.69327,            0.031413,            0.017932,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.016144,            0.011867,                   0,             0.87477,             0.74403,             0.83158,             0.69618,            0.031564,            0.018247,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.016441,            0.012504,                   0,             0.84238,             0.75896,             0.81901,             0.67699,            0.031977,            0.019495,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.015539,            0.012162,                   0,             0.84419,              0.7574,             0.83273,             0.68669,            0.032272,            0.018534,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.016407,            0.011534,                   0,             0.84627,             0.78176,             0.84485,             0.69676,            0.031991,            0.017704,                   0,            0.004423,            0.004423,            0.004423
